For 1000 concurrent users, 20 times in span of 5 seconds

timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513274738717,19,HTTP Request,200,,Grupa wątków 1-26,text,true,,322,432,22,22,19,0,1
1513274738707,30,HTTP Request,200,,Grupa wątków 1-24,text,true,,322,432,22,22,30,0,1
1513274738696,41,HTTP Request,200,,Grupa wątków 1-20,text,true,,322,432,22,22,41,0,0
1513274738697,40,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,22,22,40,0,0
1513274738697,40,HTTP Request,200,,Grupa wątków 1-15,text,true,,322,432,22,22,40,0,0
1513274738697,42,HTTP Request,200,,Grupa wątków 1-22,text,true,,322,432,23,23,42,0,0
1513274738697,42,HTTP Request,200,,Grupa wątków 1-17,text,true,,322,432,23,23,42,0,0
1513274738695,44,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,23,23,44,0,0
1513274738737,2,HTTP Request,200,,Grupa wątków 1-15,text,true,,322,432,23,23,2,0,0
1513274738737,3,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,23,23,3,0,0
1513274738739,1,HTTP Request,200,,Grupa wątków 1-17,text,true,,322,432,23,23,1,0,0
1513274738739,1,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,23,23,1,0,0
1513274738739,1,HTTP Request,200,,Grupa wątków 1-15,text,true,,322,432,23,23,1,0,0
1513274738737,3,HTTP Request,200,,Grupa wątków 1-24,text,true,,322,432,22,22,3,0,0
1513274738737,3,HTTP Request,200,,Grupa wątków 1-20,text,true,,322,432,22,22,3,0,0
1513274738736,4,HTTP Request,200,,Grupa wątków 1-25,text,true,,322,432,22,22,4,0,0
1513274738740,1,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,22,22,1,0,0
1513274738740,1,HTTP Request,200,,Grupa wątków 1-25,text,true,,322,432,22,22,1,0,0
1513274738736,5,HTTP Request,200,,Grupa wątków 1-23,text,true,,322,432,22,22,5,0,0
1513274738741,1,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,22,22,1,0,0
1513274738736,6,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,22,22,6,0,0
1513274738740,2,HTTP Request,200,,Grupa wątków 1-24,text,true,,322,432,22,22,2,0,0
1513274738736,6,HTTP Request,200,,Grupa wątków 1-26,text,true,,322,432,22,22,6,0,0
1513274738735,7,HTTP Request,200,,Grupa wątków 1-27,text,true,,322,432,22,22,7,0,0
1513274738735,7,HTTP Request,200,,Grupa wątków 1-28,text,true,,322,432,22,22,7,0,0
1513274738742,1,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,22,22,1,0,0
1513274738735,8,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,22,22,8,0,0
1513274738735,8,HTTP Request,200,,Grupa wątków 1-21,text,true,,322,432,23,23,8,0,0
1513274738742,1,HTTP Request,200,,Grupa wątków 1-26,text,true,,322,432,23,23,1,0,0
1513274738734,9,HTTP Request,200,,Grupa wątków 1-19,text,true,,322,432,23,23,9,0,0
1513274738743,0,HTTP Request,200,,Grupa wątków 1-28,text,true,,322,432,23,23,0,0,0
1513274738743,1,HTTP Request,200,,Grupa wątków 1-27,text,true,,322,432,23,23,1,0,0
1513274738734,10,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,23,23,10,0,0
1513274738743,1,HTTP Request,200,,Grupa wątków 1-28,text,true,,322,432,23,23,1,0,0
1513274738743,1,HTTP Request,200,,Grupa wątków 1-31,text,true,,322,432,23,23,1,0,0
1513274738733,12,HTTP Request,200,,Grupa wątków 1-29,text,true,,322,432,23,23,12,0,0
1513274738733,12,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,23,23,12,0,0
1513274738732,13,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,23,23,13,0,0
1513274738733,12,HTTP Request,200,,Grupa wątków 1-16,text,true,,322,432,23,23,12,0,0
1513274738744,2,HTTP Request,200,,Grupa wątków 1-27,text,true,,322,432,23,23,2,0,0
